2021-05-06 15:30:23 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:00:13 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 16:05:50 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:06:11 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:06:32 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:06:53 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:07:14 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:07:35 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:07:56 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:08:17 [65.186.33.100] AJSq5sbtSnoXHHfJ6mzst7rRG9duJUEYJY, phi1612, speed 0.000008
2021-05-06 16:18:07 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 16:26:33 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 16:36:44 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 16:55:20 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:13:56 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:14:18 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:22:22 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 17:40:59 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:41:20 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:50:07 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:50:28 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 17:50:49 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 18:50:52 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000010
2021-05-06 19:09:29 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:09:50 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:10:11 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:10:32 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
2021-05-06 19:10:53 [171.104.163.39] AY84zv5qxzuApZVjK4bazSngH5DK3EbAyK, phi1612, speed 0.000009
